ID;Sensor 1;Sensor 2;Sensor 3;Sensor 4
0x101;3313;1236;-420;16780
0x201;3313;165;-241;-9
0x101;3329;1256;-568;16620
0x201;3329;139;-244;-3
0x101;3328;1312;-520;16708
0x201;3328;173;-238;1
0x101;3312;1212;-488;16580
0x201;3312;154;-262;-40
0x101;3328;1284;-492;16652
0x201;3328;148;-248;-26
0x101;3313;1328;-488;16628
0x201;3313;160;-239;9
0x101;3313;1328;-580;16672
0x201;3313;147;-219;-16
0x101;3329;1336;-496;16684
0x201;3329;157;-224;-15
0x101;3312;1272;-440;16628
0x201;3312;174;-235;-15
0x101;3329;1332;-484;16660
0x201;3329;162;-246;-5
0x101;3312;1388;-500;16676
0x201;3312;171;-234;-24
0x101;3328;1236;-608;16644
0x201;3328;172;-239;-11
0x101;3328;1240;-532;16800
0x201;3328;140;-233;-19
0x101;3328;1264;-496;16544
0x201;3328;164;-237;-6
0x201;3312;162;-236;-26
0x101;3312;1316;-524;16696
0x101;3329;1220;-556;16568
0x201;3329;184;-250;-15
0x101;3313;1380;-576;16548
0x201;3313;169;-230;-13
0x101;3313;1324;-520;16584
0x201;3313;165;-220;-7
0x101;3312;1252;-348;16640
0x201;3312;168;-221;-18
0x101;3312;1208;-476;16704
0x201;3312;162;-223;-13
0x101;3312;1316;-536;16620
0x201;3312;179;-240;-31
0x101;3328;1296;-492;16708
0x201;3328;168;-217;-20
0x101;3313;1328;-528;16580
0x201;3313;159;-226;-8
0x101;3312;1356;-508;16668
0x201;3312;145;-224;-12
0x101;3313;1372;-432;16580
0x201;3313;148;-232;-11
0x201;3328;185;-232;-8
0x101;3328;1340;-480;16564
0x201;3312;170;-241;-37
0x101;3312;1308;-580;16556
0x101;3312;1220;-456;16468
0x201;3312;155;-241;-2
0x201;3313;168;-215;1
0x101;3313;1348;-528;16720
0x101;3313;1256;-552;16740
0x201;3313;161;-252;-23
0x101;3312;1272;-552;16668
0x201;3312;184;-236;-7
0x101;3329;1260;-564;16652
0x201;3329;161;-218;-10
0x101;3312;1208;-448;16660
0x201;3312;163;-229;-29
0x101;3313;1196;-496;16628
0x201;3313;158;-240;-17
0x101;3313;1280;-572;16668
0x201;3313;147;-237;-5
0x101;3313;1324;-540;16616
0x201;3313;263;-233;-22
0x101;3313;1260;-500;16400
0x201;3313;261;-229;-11
0x101;3329;1260;-520;16724
0x201;3329;437;-214;-14
0x101;3313;1308;-384;16628
0x201;3313;813;-228;-12
0x101;3313;1204;-280;16656
0x201;3313;982;-211;-3
0x101;3313;1316;184;16776
0x201;3313;2155;-218;-34
0x101;3312;1260;736;16720
0x201;3312;861;-213;-35
0x101;3313;1268;428;16452
0x201;3313;-1211;-235;4
0x101;3328;1332;232;16492
0x201;3328;162;-245;-8
0x101;3264;1348;148;16612
0x201;3264;-215;-229;-9
0x101;3136;1340;116;16568
0x201;3136;-596;-229;-34
0x201;3105;-57;-250;2
0x101;3105;1340;-124;16728
0x101;3008;1308;-192;16500
0x201;3008;350;-249;-5
0x101;2960;1320;-8;16696
0x201;2960;157;-226;-13
0x101;2913;1384;-48;16708
0x201;2913;-58;-234;-22
0x101;2849;1352;-140;16792
0x201;2849;439;-236;-23
0x101;2800;1348;-28;16624
0x201;2800;-134;-197;-13
0x101;2769;1352;-8;16528
0x201;2769;345;-242;-7
0x101;2672;1288;8;16536
0x201;2672;216;-238;-5
0x101;2625;1344;64;16584
0x201;2625;111;-222;-17
0x101;2577;1304;-104;16556
0x201;2577;116;-229;-20
0x101;2529;1216;52;16528
0x201;2529;138;-229;-23
0x101;2512;1396;-28;16676
0x201;2512;83;-249;-26
0x101;2432;1316;-148;16556
0x201;2432;68;-216;-39
0x101;2385;1356;-196;16616
0x201;2385;234;-241;-12
0x101;2289;1272;-64;16624
0x201;2289;65;-243;-17
0x101;2209;1244;-232;16704
0x201;2209;185;-233;-9
0x201;2145;213;-251;-20
0x101;2145;1288;-64;16528
0x201;2129;200;-252;-9
0x101;2129;1296;-172;16684
0x101;2097;1324;-32;16540
0x201;2097;254;-225;-20
0x101;2049;1284;-112;16704
0x201;2049;140;-239;-28
0x101;2032;1284;-144;16560
0x201;2032;121;-241;-22
0x101;2017;1376;-124;16520
0x201;2017;170;-230;-13
0x101;2016;1492;-156;16728
0x201;2016;147;-227;8
0x101;2033;1252;-120;16628
0x201;2033;7;-228;-5
0x101;2049;1280;-84;16660
0x201;2049;267;-216;-17
0x101;2017;1252;-84;16564
0x201;2017;37;-235;-22
0x101;2000;1340;-232;16556
0x201;2000;439;-225;-8
0x101;2017;1364;-104;16496
0x201;2017;-56;-235;-30
0x101;2000;1340;-96;16600
0x201;2000;696;-243;-31
0x101;2017;1224;-156;16672
0x201;2017;130;-233;-15
0x101;2112;1416;-128;16656
0x201;2112;-43;-239;-27
0x101;2353;1344;-132;16660
0x201;2353;314;-244;-13
0x101;2640;1320;-172;16568
0x201;2640;62;-254;-1
0x101;2849;1376;-96;16608
0x201;2849;224;-237;-7
0x101;3089;1296;-268;16584
0x201;3089;99;-239;-13
0x101;3312;1368;-68;16476
0x201;3312;373;-226;-19
0x201;3313;39;-247;1
0x101;3313;1264;-108;16696
0x101;3312;1248;-160;16728
0x201;3312;490;-226;-14
0x101;3313;1228;-60;16588
0x201;3313;-461;-245;-32
0x101;3312;1232;-292;16508
0x201;3312;170;-240;-8
0x101;3313;1256;-288;16664
0x201;3313;388;-236;-31
0x101;3328;1288;-196;16668
0x201;3328;357;-234;-22
0x101;3312;1316;40;16604
0x201;3312;269;-215;-7
0x101;3313;1328;-164;16576
0x201;3313;185;-223;-1
0x101;3265;1316;-148;16724
0x201;3265;225;-258;-24
0x101;3200;1364;-108;16576
0x201;3200;49;-206;1
0x101;3089;1248;-88;16600
0x201;3089;220;-229;-9
0x101;2944;1264;-144;16540
0x201;2944;83;-236;-19
0x101;2785;1316;-160;16624
0x201;2785;11;-223;-19
0x101;2689;1332;-172;16580
0x201;2689;222;-239;-19
0x201;2593;190;-236;12
0x101;2593;1376;-76;16664
0x101;2481;1352;-296;16616
0x201;2481;33;-237;-6
0x101;2401;1300;-240;16488
0x201;2401;133;-221;-25
0x101;2337;1328;-144;16624
0x201;2337;162;-218;-24
0x101;2337;1288;-116;16684
0x201;2337;-37;-236;-6
0x201;2336;119;-258;-15
0x101;2336;1388;-220;16592
0x101;2336;1324;-152;16648
0x201;2336;277;-224;-14
0x201;2353;121;-222;-21
0x101;2353;1288;-280;16664
0x101;2353;1256;-284;16600
0x201;2353;165;-229;-27
0x101;2353;1236;-220;16752
0x201;2353;404;-230;-13
0x201;2353;-27;-229;-7
0x101;2353;1296;-188;16572
0x101;2369;1276;-124;16492
0x201;2369;100;-231;-20
0x101;2400;1336;-272;16508
0x201;2400;222;-233;-1
0x101;2400;1328;-172;16688
0x201;2400;142;-242;-29
0x201;2464;98;-228;-14
0x101;2464;1232;-264;16604
0x101;2704;1380;-208;16700
0x201;2704;156;-248;-17
0x101;2848;1276;-244;16568
0x201;2848;245;-244;-31
0x101;2944;1224;-276;16444
0x201;2944;188;-247;-6
0x101;3089;1384;-204;16684
0x201;3089;183;-231;-5
0x101;3232;1308;-260;16628
0x201;3232;270;-245;-28
0x101;3312;1272;-64;16544
0x201;3312;230;-241;-29
0x101;3313;1156;-248;16752
0x201;3313;187;-235;-21
0x201;3312;301;-247;-31
0x101;3312;1404;-84;16684
0x201;3313;84;-230;-31
0x101;3313;1348;-100;16572
0x201;3312;245;-244;-14
0x101;3312;1356;-200;16628
0x101;3313;1228;-200;16572
0x201;3313;286;-217;-19
0x101;3312;1396;-92;16584
0x201;3312;-118;-249;-1
0x101;3328;1288;-256;16424
0x201;3328;-390;-262;-11
0x201;3312;44;-216;-21
0x101;3312;1336;-292;16572
0x101;3329;1180;-308;16564
0x201;3329;185;-224;-26
0x201;3313;146;-227;-8
0x101;3313;1404;-244;16700
0x101;3312;1536;-388;16572
0x201;3312;162;-255;19
0x101;3312;1352;-452;16532
0x201;3312;171;-223;-8
0x101;3312;1308;-348;16536
0x201;3312;174;-229;-8
0x101;3313;1256;-304;16500
0x201;3313;151;-239;2
0x101;3313;1332;-332;16564
0x201;3313;155;-227;-15
0x101;3313;1296;-360;16532
0x201;3313;156;-238;-20
0x101;3328;1368;-480;16696
0x201;3328;183;-252;-15
0x101;3313;1360;-404;16644
0x201;3313;181;-233;-14
0x101;3328;1316;-288;16732
0x201;3328;149;-234;-7
0x101;3328;1344;-296;16556
0x201;3328;149;-233;-17
0x101;3313;1220;-248;16684
0x201;3313;169;-253;-21
0x101;3312;1352;-308;16668
0x201;3312;158;-230;-9
0x101;3312;1264;-292;16600
0x201;3312;163;-235;-1
0x101;3313;1340;-340;16760
0x201;3313;175;-224;-22
0x101;3313;1308;-372;16592
0x201;3313;151;-243;-5
0x101;3328;1284;-368;16548
0x201;3328;163;-241;-12
0x101;3313;1300;-264;16560
0x201;3313;162;-253;-13
0x101;3312;1272;-452;16640
0x201;3312;170;-233;1
0x101;3313;1344;-324;16808
0x201;3313;149;-231;-1
0x101;3313;1304;-328;16660
0x201;3313;175;-252;0
0x101;3313;1224;-408;16552
0x201;3313;183;-232;-25
0x101;3312;1380;-320;16604
0x201;3312;161;-230;-35
0x101;3312;1268;-280;16624
0x201;3312;178;-212;-21
0x201;3312;186;-239;-8
0x101;3312;1392;-376;16604
0x101;3312;1232;-428;16616
0x201;3312;169;-256;-25
0x101;3313;1316;-356;16628
0x201;3313;150;-246;-16
0x101;3312;1284;-448;16644
0x201;3312;178;-236;-18
0x101;3328;1384;-436;16612
0x201;3328;169;-230;-6
0x101;3312;1360;-368;16508
0x201;3312;153;-239;-22
0x201;3313;153;-234;-15
0x101;3313;1228;-292;16708
0x101;3313;1276;-352;16496
0x201;3313;150;-233;-17
0x101;3313;1304;-392;16588
0x201;3313;167;-223;-10
0x101;3312;1268;-380;16656
0x201;3312;171;-243;-12
0x101;3313;1272;-412;16580
0x201;3313;168;-228;-10
0x101;3329;1292;-320;16608
0x201;3329;158;-228;-8
0x101;3312;1312;-356;16540
0x201;3312;148;-233;-11
0x101;3313;1292;-348;16552
0x201;3313;150;-229;-21
0x101;3313;1356;-400;16584
0x201;3313;178;-230;-34
0x101;3312;1432;-272;16588
0x201;3312;188;-235;-14
0x101;3329;1368;-340;16660
0x201;3329;141;-246;-22
0x101;3313;1268;-320;16500
0x201;3313;155;-242;-12
0x101;3313;1324;-400;16500
0x201;3313;178;-230;0
0x101;3329;1296;-312;16564
0x201;3329;163;-252;-5
0x101;3312;1384;-340;16580
0x201;3312;141;-234;-23
0x101;3328;1240;-376;16532
0x201;3328;176;-227;-24
0x201;3329;170;-249;-20
0x101;3329;1400;-340;16528
0x101;3312;1316;-452;16668
0x201;3312;144;-244;-14
0x201;3328;158;-226;-27
0x101;3328;1356;-296;16576
0x201;3328;191;-235;5
0x101;3328;1196;-404;16644
0x101;3329;1320;-200;16660
0x201;3329;158;-230;-36
0x101;3313;1396;-368;16564
0x201;3313;162;-234;-10
0x101;3312;1316;-292;16588
0x201;3312;169;-226;-13
0x101;3312;1316;-352;16760
0x201;3312;164;-233;-9
0x101;3313;1300;-316;16712
0x201;3313;163;-216;-17
0x101;3329;1320;-416;16768
0x201;3329;173;-247;-7
0x101;3312;1316;-372;16536
0x201;3312;141;-249;-17
0x101;3313;1196;-356;16712
0x201;3313;162;-238;-8
0x101;3313;1328;-236;16644
0x201;3313;155;-241;-25
0x101;3312;1260;-260;16580
0x201;3312;166;-224;-13
0x101;3313;1344;-424;16652
0x201;3313;158;-229;-13
0x201;3313;163;-246;-25
0x101;3313;1184;-388;16708
0x101;3313;1340;-348;16560
0x201;3313;173;-221;-25
0x101;3313;1316;-244;16644
0x201;3313;154;-239;-5
0x101;3328;1308;-348;16532
0x201;3328;159;-252;-10
0x201;3313;157;-235;-31
0x101;3313;1328;-384;16564
0x101;3313;1228;-344;16636
0x201;3313;161;-241;-13
0x101;3313;1364;-440;16764
0x201;3313;172;-237;-12
0x101;3328;1180;-340;16672
0x201;3328;166;-237;-13
0x101;3313;1232;-380;16552
0x201;3313;166;-243;-7
0x101;3312;1348;-372;16812
0x201;3312;172;-243;-3
0x101;3312;1332;-224;16588
0x201;3312;163;-241;-16
0x101;3328;1360;-320;16648
0x201;3328;163;-244;-16
0x101;3313;1208;-360;16600
0x201;3313;168;-224;-6
0x101;3312;1304;-364;16616
0x201;3312;159;-251;-16
0x101;3328;1208;-268;16616
0x201;3328;165;-244;-14
0x101;3312;1348;-356;16640
0x201;3312;161;-221;-26
0x101;3313;1376;-260;16628
0x201;3313;169;-233;-41
0x101;3313;1412;-368;16540
0x201;3313;163;-231;-23
0x101;3312;1372;-340;16628
0x201;3312;171;-240;-17
0x101;3313;1340;-372;16632
0x201;3313;175;-237;-18
0x101;3313;1280;-352;16560
0x201;3313;155;-235;-21
0x201;3312;161;-220;-24
0x101;3312;1168;-260;16496
0x201;3313;162;-231;2
0x101;3313;1356;-340;16560
0x101;3312;1320;-408;16524
0x201;3312;160;-247;-4
0x201;3313;174;-228;-34
0x101;3313;1212;-336;16664
0x101;3328;1288;-348;16584
0x201;3328;171;-226;-6
0x101;3313;1368;-276;16668
0x201;3313;168;-238;-13
0x101;3313;1268;-348;16636
0x201;3313;167;-236;-14
0x101;3312;1356;-340;16608
0x201;3312;170;-237;-27
0x101;3312;1284;-364;16596
0x201;3312;174;-227;-7
0x101;3313;1236;-288;16696
0x201;3313;161;-216;-11
0x101;3312;1288;-420;16672
0x201;3312;152;-239;-31
0x101;3312;1264;-364;16644
0x201;3312;170;-242;-2
0x101;3313;1284;-356;16768
0x201;3313;148;-219;-29
0x101;3312;1412;-364;16640
0x201;3312;162;-230;-26
0x101;3313;1256;-364;16540
0x201;3313;156;-247;-4
0x101;3312;1316;-396;16704
0x201;3312;174;-237;-25
0x101;3313;1364;-320;16608
0x201;3313;166;-240;-13
0x101;3312;1392;-400;16636
0x201;3312;167;-214;-12
0x201;3312;172;-232;-24
0x101;3312;1264;-288;16716
0x201;3313;169;-227;-14
0x101;3313;1464;-372;16696
0x201;3313;175;-226;-16
0x101;3313;1324;-384;16440
0x201;3313;154;-221;-6
0x101;3313;1364;-372;16616
0x101;3313;1328;-420;16636
0x201;3313;172;-223;-21
0x201;3328;166;-244;-26
0x101;3328;1368;-428;16540
0x201;3312;159;-235;-31
0x101;3312;1344;-372;16576
0x101;3313;1340;-420;16708
0x201;3313;161;-241;-26
0x201;3313;173;-250;5
0x101;3313;1336;-408;16720
0x101;3328;1360;-356;16608
0x201;3328;175;-225;-17
0x101;3312;1324;-296;16536
0x201;3312;161;-222;-29
0x101;3312;1304;-396;16520
0x201;3312;170;-254;-11
0x101;3313;1380;-308;16568
0x201;3313;190;-232;-26
0x101;3328;1272;-280;16576
0x201;3328;138;-243;-29
0x101;3329;1396;-340;16476
0x201;3329;184;-235;-26
0x101;3313;1404;-340;16668
0x201;3313;147;-221;6
0x101;3313;1268;-324;16576
0x201;3313;180;-218;-29
0x101;3329;1340;-432;16608
0x201;3329;143;-237;-18
0x101;3328;1252;-232;16624
0x201;3328;166;-230;-11
0x101;3313;1308;-308;16660
0x201;3313;163;-232;-13
0x201;3312;182;-229;-25
0x101;3312;1396;-372;16456
0x201;3313;197;-205;-28
0x101;3313;1368;-328;16668
0x101;3312;1176;-424;16604
0x201;3312;152;-226;-23
0x101;3312;1336;-232;16644
0x201;3312;173;-236;-25
0x101;3312;1364;-396;16656
0x201;3312;179;-230;-9
0x101;3328;1284;-384;16688
0x201;3328;173;-249;-38
0x101;3328;1440;-412;16552
0x201;3328;151;-233;-1
0x101;3312;1352;-332;16604
0x201;3312;158;-232;-16
0x101;3313;1348;-316;16548
0x201;3313;169;-223;-19
0x101;3312;1340;-328;16688
0x201;3312;175;-233;-26
0x101;3312;1300;-340;16552
0x201;3312;151;-239;-7
0x101;3312;1232;-372;16660
0x201;3312;167;-250;-29
0x101;3312;1304;-328;16560
0x201;3312;171;-247;-19
0x101;3328;1332;-336;16472
0x201;3328;165;-236;-23
0x201;3313;179;-251;-11
0x101;3313;1376;-368;16672
0x101;3313;1256;-260;16640
0x201;3313;175;-235;-18
0x101;3313;1352;-272;16580
0x201;3313;176;-251;-7
0x201;3328;159;-250;-13
0x101;3328;1216;-396;16576
0x201;3312;153;-237;-25
0x101;3312;1280;-336;16628
0x101;3312;1268;-308;16672
0x201;3312;159;-220;-14
0x101;3312;1308;-440;16636
0x201;3312;173;-230;-31
0x101;3328;1376;-324;16648
0x201;3328;167;-237;-15
0x101;3328;1212;-364;16556
0x201;3328;161;-246;-24
0x101;3312;1444;-340;16656
0x201;3312;163;-243;-21
0x101;3328;1316;-396;16588
0x201;3328;161;-228;-17
0x101;3312;1308;-216;16660
0x201;3312;168;-218;-12
0x101;3313;1280;-420;16552
0x201;3313;174;-234;-15
0x101;3313;1452;-364;16624
0x201;3313;164;-226;2
0x101;3312;1276;-320;16848
0x201;3312;168;-242;9
0x101;3313;1284;-248;16692
0x201;3313;173;-225;-19
0x201;3313;173;-242;-19
0x101;3313;1328;-360;16616
0x201;3313;167;-239;-19
0x101;3313;1336;-296;16596
0x201;3312;170;-235;-5
0x101;3312;1264;-360;16668
0x201;3312;163;-239;-18
0x101;3312;1264;-372;16576
0x101;3313;1372;-376;16696
0x201;3313;162;-235;0
0x201;3313;163;-227;-4
0x101;3313;1308;-396;16452
0x101;3312;1252;-384;16516
0x201;3312;159;-222;-8
0x101;3313;1256;-328;16612
0x201;3313;176;-233;3
0x201;3329;176;-243;-26
0x101;3329;1324;-396;16520
0x201;3313;164;-231;-22
0x101;3313;1260;-432;16616
0x101;3312;1236;-388;16688
0x201;3312;160;-219;-3
0x101;3329;1272;-408;16640
0x201;3329;159;-245;-13
0x101;3313;1244;-360;16572
0x201;3313;161;-227;-26
0x101;3312;1272;-352;16652
0x201;3312;173;-232;-19
0x101;3328;1352;-348;16568
0x201;3328;155;-234;-11
0x101;3313;1268;-348;16564
0x201;3313;168;-233;-18
0x101;3328;1280;-396;16636
0x201;3328;149;-263;-11
0x101;3328;1360;-428;16616
0x201;3328;160;-242;-28
0x101;3329;1292;-284;16724
0x201;3329;155;-245;-16
0x101;3313;1216;-372;16592
0x201;3313;172;-236;-11
0x101;3329;1264;-380;16716
0x201;3329;152;-225;-33
0x101;3329;1240;-416;16632
0x201;3329;156;-225;-28
0x101;3313;1308;-384;16636
0x201;3313;164;-219;-8
0x101;3313;1364;-384;16652
0x201;3313;144;-215;-18
0x101;3329;1232;-456;16576
0x201;3329;161;-239;-14
0x201;3312;166;-222;-23
0x101;3312;1272;-324;16608
0x101;3328;1344;-328;16708
0x201;3328;159;-229;-22
0x101;3312;1376;-364;16628
0x201;3312;141;-243;-9
0x101;3313;1308;-408;16644
0x201;3313;169;-238;-20
0x101;3313;1384;-324;16592
0x201;3313;153;-224;-16
0x101;3313;1352;-240;16448
0x201;3313;174;-235;-15
0x101;3313;1308;-388;16692
0x201;3313;177;-216;-15
0x201;3313;163;-245;-5
0x101;3313;1328;-316;16504
0x101;3312;1320;-284;16552
0x201;3312;172;-228;-11
0x201;3312;178;-231;-22
0x101;3312;1268;-348;16636
0x101;3328;1280;-444;16668
0x201;3328;164;-228;-2
0x101;3313;1260;-312;16544
0x201;3313;161;-234;-32
0x101;3313;1316;-400;16528
0x201;3313;159;-250;-25
0x101;3313;1332;-324;16816
0x201;3313;161;-235;-22
0x101;3312;1356;-256;16504
0x201;3312;162;-239;-6
0x101;3313;1244;-420;16636
0x201;3313;158;-237;-10
0x101;3313;1240;-356;16672
0x201;3313;175;-233;2
0x101;3313;1316;-360;16564
0x201;3313;142;-221;-7
0x201;3313;152;-244;-17
0x101;3313;1404;-404;16600
0x101;3329;1256;-412;16628
0x201;3329;160;-238;-14
0x101;3328;1428;-416;16720
0x201;3328;182;-213;-17
0x101;3313;1360;-416;16608
0x201;3313;159;-235;-25
0x101;3329;1308;-428;16576
0x201;3329;162;-228;-30
0x201;3312;176;-224;-63
0x101;3312;1384;-40;16628
0x101;3312;1108;-204;16632
0x201;3312;179;-233;-14
0x101;3313;1264;-288;16644
0x201;3313;131;-224;-15
0x101;3312;1280;-336;16808
0x201;3312;157;-238;-45
0x101;3313;1240;-376;16700
0x201;3313;142;-233;-21
0x101;3313;1324;-464;16480
0x201;3313;193;-240;-25
0x101;3312;1308;-368;16472
0x201;3312;167;-222;-24
0x101;3329;1300;-412;16656
0x201;3329;163;-224;0
0x101;3312;1292;-336;16496
0x201;3312;149;-232;-15
0x101;3328;1280;-332;16564
0x201;3328;164;-241;-20
0x101;3312;1344;-272;16732
0x201;3312;159;-217;-15
0x101;3313;1328;-368;16552
0x201;3313;144;-259;-26
0x201;3329;154;-221;-16
0x101;3329;1256;-324;16632
0x201;3312;161;-232;-21
0x101;3312;1332;-280;16544
0x101;3312;1296;-464;16516
0x201;3312;185;-218;-26
0x101;3312;1288;-384;16588
0x201;3312;142;-216;-19
0x101;3312;1340;-336;16600
0x201;3312;171;-242;-35
0x101;3313;1300;-436;16716
0x201;3313;158;-248;-23
0x101;3328;1416;-336;16628
0x201;3328;140;-236;-12
0x101;3313;1324;-372;16624
0x201;3313;167;-248;-6
0x101;3313;1344;-312;16488
0x201;3313;176;-232;-18
0x101;3312;1304;-468;16724
0x201;3312;159;-227;-21
0x101;3313;1300;-356;16568
0x201;3313;113;-254;-11
0x101;3313;1436;-444;16584
0x201;3313;52;-233;-15
0x101;3313;1344;-360;16656
0x201;3313;119;-243;-16
0x101;3313;1396;-432;16648
0x201;3313;32;-230;-44
0x101;3313;1272;-428;16592
0x201;3313;143;-243;-19
0x201;3313;103;-215;-13
0x101;3313;1328;-424;16624
0x201;3313;119;-237;-22
0x101;3313;1408;-320;16588
0x201;3313;133;-248;-28
0x101;3313;1248;-340;16600
0x101;3328;1392;-484;16648
0x201;3328;196;-229;-13
0x101;3313;1340;-344;16588
0x201;3313;182;-256;-23
0x201;3329;118;-247;-18
0x101;3329;1156;-384;16596
0x101;3313;1280;-456;16596
0x201;3313;186;-243;-9
0x101;3313;1276;-368;16604
0x201;3313;188;-244;-23
0x101;3329;1300;-364;16556
0x201;3329;167;-238;-10
0x101;3312;1312;-328;16580
0x201;3312;148;-248;-9
0x101;3328;1192;-416;16596
0x201;3328;146;-237;-16
0x101;3312;1208;-360;16652
0x201;3312;167;-222;-15
0x101;3313;1372;-388;16476
0x201;3313;195;-237;-1
0x101;3312;1300;-428;16564
0x201;3312;121;-234;-21
0x101;3313;1352;-428;16584
0x201;3313;148;-235;-25
0x101;3313;1212;-408;16584
0x201;3313;166;-215;-21
0x101;3329;1308;-452;16684
0x201;3329;172;-235;-26
0x101;3313;1244;-412;16588
0x201;3313;174;-235;1
0x101;3329;1384;-476;16644
0x201;3329;151;-232;-39
0x201;3313;165;-233;-15
0x101;3313;1352;-336;16648
0x101;3313;1184;-428;16676
0x201;3313;182;-246;-14
0x101;3313;1356;-376;16536
0x201;3313;179;-233;5
0x101;3329;1296;-460;16716
0x201;3329;137;-233;-10
0x201;3313;141;-229;-15
0x101;3313;1356;-488;16468
0x101;3313;1360;-380;16720
0x201;3313;170;-223;-12
0x101;3312;1360;-468;16572
0x201;3312;169;-238;-22
0x101;3312;1292;-376;16484
0x201;3312;182;-242;-27
0x101;3313;1312;-448;16764
0x201;3313;189;-238;7
0x101;3313;1364;-516;16628
0x201;3313;163;-235;-28
0x101;3329;1236;-448;16508
0x201;3329;154;-243;-6
0x101;3328;1324;-468;16576
0x201;3328;168;-236;-25
0x101;3313;1280;-372;16692
0x201;3313;142;-211;-18
0x101;3312;1364;-396;16540
0x201;3312;147;-231;-5
0x101;3312;1248;-504;16704
0x201;3312;129;-244;-24
0x101;3313;1308;-460;16612
0x201;3313;164;-220;-18
0x101;3313;1224;-484;16520
0x201;3313;168;-220;-18
0x101;3312;1300;-408;16532
0x201;3312;153;-212;-25
0x101;3312;1376;-448;16588
0x201;3312;157;-241;-16
0x101;3312;1328;-420;16736
0x201;3312;250;-227;-6
0x101;3312;1236;-432;16828
0x201;3312;-699;-241;-28
0x101;3328;1336;-384;16816
0x201;3328;-217;-247;-17
0x201;3329;92;-225;-33
0x101;3329;1252;-416;16580
0x101;3312;1236;-408;16428
0x201;3312;110;-223;-14
0x101;3328;1260;-600;16560
0x201;3328;208;-239;-24
0x101;3328;1312;-372;16512
0x201;3328;128;-230;-15
0x101;3328;1204;-412;16636
0x201;3328;181;-245;-5
0x101;3313;1344;-528;16496
0x201;3313;177;-236;-17
0x101;3313;1300;-464;16536
0x201;3313;170;-244;-22
0x101;3312;1260;-380;16656
0x201;3312;176;-220;-1
0x101;3312;1204;-352;16612
0x201;3312;201;-230;-16
0x101;3329;1316;-412;16560
0x201;3329;140;-219;2
0x101;3313;1176;-400;16612
0x201;3313;135;-250;-23
0x101;3313;1236;-520;16588
0x201;3313;112;-235;-1
0x101;3313;1280;-440;16620
0x201;3313;167;-250;-9
0x101;3312;1264;-496;16692
0x201;3312;169;-231;3
0x101;3328;1248;-380;16656
0x201;3328;155;-216;-26
